test_name,mean_log_duration,variance_log_duration
stage1-1337,-15.400201,4.820111e-09
stage1-42,-15.401888,4.728772e-09
stage1-print-multiple,-14.891326,3.666350e-09
stage2-1-plus-1,-15.416018,4.527880e-09
stage2-1-plus-2-plus3,-15.418379,4.393343e-09
stage2-1-plus-5,-15.414806,4.474292e-09
stage2-5-plus-1,-15.415217,4.502386e-09
stage2-big-stack,-15.287456,4.794915e-09
stage2-overflow,-15.406332,3.945666e-09
stage3-bad-order,-15.411432,4.519416e-09
stage3-lots-of-ops,-14.528611,6.742470e-09
stage3-overflow,-15.346885,4.608001e-09
stage4-basic-division,-15.317671,4.579047e-09
stage4-lots-of-ops,-14.537744,7.497355e-09
stage5-big-locals,-15.215868,4.664783e-09
stage5-local-test,-15.379431,3.741017e-09
stage5-local-test2,-15.299390,4.843717e-09
stage5-lots-of-ops,-10.635243,2.859516e-07
stage6-comparisons,-15.284108,4.843853e-09
stage7-bswap,-14.960295,5.120405e-09
stage7-count-to-20,-15.187699,3.675603e-09
stage7-count-together,-14.091824,1.155706e-08
stage7-count-up-down,-14.966766,3.895631e-09
stage7-digit-powers,-2.456150,2.548947e-05
stage7-double-palindromes,-3.191784,2.380896e-04
stage7-exponentiation,-11.432814,8.980874e-08
stage7-fizz-buzz,-12.956757,3.853508e-08
stage7-lcm,-8.496227,7.656607e-07
stage7-loops-of-ops,-1.755492,2.834677e-04
stage7-pascals-triangle,-11.703236,6.078994e-08
stage7-pi-approx,-13.577582,1.929061e-08
stage7-pi-exact,-1.043856,1.876423e-04
stage7-primes,-6.827701,9.246983e-06
stage7-riemann-sum,-6.234251,2.025328e-05
stage7-sin,-8.308675,2.950039e-06
stage7-sqrt,-14.128731,6.029592e-09
stage7-square-digits,1.204400,1.147696e-06
stage7-unhash,0.526233,1.339709e-05
